"benchmark","benchmark id","expected","asterix","sleek","slsat","spen"
"sll0a_sat/spaguetti-20-e10.tptp.smt2","945882","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-16-e08.tptp.smt2","945887","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-14-e10.tptp.smt2","945840","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-15-e10.tptp.smt2","945807","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-19-e10.tptp.smt2","945896","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-16-e06.tptp.smt2","945833","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-10-e04.tptp.smt2","945859","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-10-e10.tptp.smt2","945827","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-14-e03.tptp.smt2","945826","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-16-e03.tptp.smt2","945844","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-19-e05.tptp.smt2","945812","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-12-e09.tptp.smt2","945800","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-13-e03.tptp.smt2","945861","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-20-e05.tptp.smt2","945877","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-17-e07.tptp.smt2","945899","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-11-e01.tptp.smt2","945834","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-12-e05.tptp.smt2","945811","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-14-e09.tptp.smt2","945856","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-10-e01.tptp.smt2","945799","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-18-e08.tptp.smt2","945881","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-10-e03.tptp.smt2","945902","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-12-e10.tptp.smt2","945862","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-11-e10.tptp.smt2","945908","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-12-e06.tptp.smt2","945825","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-16-e10.tptp.smt2","945837","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-16-e02.tptp.smt2","945885","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-18-e03.tptp.smt2","945848","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-19-e07.tptp.smt2","945852","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-16-e04.tptp.smt2","945874","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-19-e02.tptp.smt2","945904","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-15-e08.tptp.smt2","945880","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-12-e08.tptp.smt2","945901","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-11-e06.tptp.smt2","945813","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-11-e08.tptp.smt2","945855","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-16-e05.tptp.smt2","945841","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-17-e04.tptp.smt2","945906","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-11-e05.tptp.smt2","945802","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-13-e02.tptp.smt2","945810","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-13-e01.tptp.smt2","945869","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-20-e07.tptp.smt2","945803","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-20-e08.tptp.smt2","945816","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-10-e07.tptp.smt2","945897","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-11-e09.tptp.smt2","945851","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-16-e07.tptp.smt2","945868","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-18-e05.tptp.smt2","945903","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-12-e04.tptp.smt2","945864","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-20-e06.tptp.smt2","945835","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-17-e08.tptp.smt2","945860","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-11-e07.tptp.smt2","945849","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-13-e10.tptp.smt2","945907","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-12-e07.tptp.smt2","945853","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-17-e03.tptp.smt2","945893","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-14-e08.tptp.smt2","945876","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-15-e01.tptp.smt2","945886","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-19-e04.tptp.smt2","945832","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-15-e06.tptp.smt2","945804","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-12-e03.tptp.smt2","945828","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-15-e03.tptp.smt2","945871","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-17-e05.tptp.smt2","945872","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-13-e07.tptp.smt2","945815","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-17-e06.tptp.smt2","945839","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-19-e06.tptp.smt2","945830","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-20-e03.tptp.smt2","945850","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-14-e06.tptp.smt2","945892","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-14-e05.tptp.smt2","945894","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-19-e01.tptp.smt2","945889","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-20-e04.tptp.smt2","945805","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-10-e08.tptp.smt2","945883","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-10-e02.tptp.smt2","945818","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-13-e05.tptp.smt2","945817","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-15-e02.tptp.smt2","945867","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-16-e01.tptp.smt2","945829","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-18-e07.tptp.smt2","945845","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-14-e02.tptp.smt2","945823","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-18-e06.tptp.smt2","945875","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-12-e02.tptp.smt2","945846","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-18-e09.tptp.smt2","945891","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-19-e09.tptp.smt2","945895","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-17-e02.tptp.smt2","945838","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-17-e09.tptp.smt2","945819","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-16-e09.tptp.smt2","945831","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-14-e01.tptp.smt2","945905","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-11-e04.tptp.smt2","945857","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-18-e10.tptp.smt2","945890","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-10-e06.tptp.smt2","945854","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-15-e07.tptp.smt2","945898","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-15-e04.tptp.smt2","945814","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-15-e05.tptp.smt2","945842","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-10-e05.tptp.smt2","945801","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-12-e01.tptp.smt2","945878","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-20-e01.tptp.smt2","945808","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-11-e02.tptp.smt2","945806","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-17-e01.tptp.smt2","945820","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-13-e09.tptp.smt2","945836","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-17-e10.tptp.smt2","945863","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-18-e02.tptp.smt2","945865","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-14-e04.tptp.smt2","945858","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-11-e03.tptp.smt2","945900","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-10-e09.tptp.smt2","945822","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-18-e04.tptp.smt2","945884","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-20-e02.tptp.smt2","945866","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-19-e08.tptp.smt2","945809","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-19-e03.tptp.smt2","945879","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-18-e01.tptp.smt2","945843","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-13-e06.tptp.smt2","945888","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-14-e07.tptp.smt2","945847","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-15-e09.tptp.smt2","945821","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-13-e04.tptp.smt2","945873","unsat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-20-e09.tptp.smt2","945870","sat","complete","complete","complete","complete"
"sll0a_sat/spaguetti-13-e08.tptp.smt2","945824","sat","complete","complete","complete","complete"
